Name,Type,Location,Entry Fee,Timings
Basilica of Bom Jesus,Church,Old Goa,Free,9:00 AM - 6:30 PM
Se Cathedral,Church,Old Goa,Free,7:00 AM - 6:30 PM
Shri Manguesh Temple,Temple,Priol,Free,6:00 AM - 10:00 PM
Shanta Durga Temple,Temple,Kavalem,Free,5:00 AM - 10:00 PM
Mahalaxmi Temple,Temple,Bandode,Free,5:00 AM - 9:30 PM
Fort Aguada,Fort,Bardez,Free,24 hours
Chapora Fort,Fort,Chapora,Free,9:30 AM - 5:30 PM
Reis Magos Fort,Fort,Reis Magos,Free,10:00 AM - 5:00 PM
Goa State Museum,Museum,Panjim,Adults: INR 10, Children: INR 5, 9:30 AM - 5:00 PM (Closed on Public Holidays)
Naval Aviation Museum,Museum,Bogmalo,Adults: INR 20, Children: INR 10, 10:00 AM - 5:00 PM (Closed on Mondays)
Salim Ali Bird Sanctuary,Nature Reserve,Chorao,Adults: INR 20, Children: INR 10, 6:00 AM - 6:00 PM
Dudhsagar Waterfalls,Nature Reserve,Sanguem,Indian Nationals: INR 20, Foreign Nationals: INR 300, 9:00 AM - 6:00 PM
Bondla Wildlife Sanctuary,Nature Reserve,Ponda,Adults: INR 20, Children: INR 5, 9:00 AM - 5:00 PM
